x,y
33.588,30.750
48.828,65.314
86.176,59.344
39.270,-33.057
-23.370,86.853
48.132,95.593
-16.357,93.311
-57.703,-65.601
7.147,32.684
42.950,68.701
37.085,-2.112
77.759,55.817
-17.462,-56.567
58.575,59.888
57.776,15.344
-22.327,36.072
-7.080,30.493
55.658,60.425
-14.307,11.456
-29.724,24.268
43.219,0.739
45.184,35.474
64.484,2.240
55.078,72.241
16.925,15.741
45.038,-3.723
-76.782,5.939
36.169,0.256
29.218,8.936
65.057,5.225
42.175,-22.284
25.574,31.726
31.561,37.262
66.498,-54.169
46.576,-17.938
65.063,40.875
-2.716,24.768
-40.002,3.870
-73.505,57.043
81.146,-25.714
12.006,-7.965
42.761,38.092
3.857,-23.181
-7.367,24.390
35.944,-11.835
52.075,9.692
30.725,30.701
41.223,77.924
68.884,-40.546
76.312,86.670
63.934,78.540
29.150,-9.961
85.522,39.954
31.775,3.870
-20.544,19.086
55.353,43.817
35.406,10.278
25.464,-0.287
12.396,0.244
18.359,20.917
27.960,-15.039
-3.192,19.879
9.332,-41.351
-20.581,38.177
27.820,28.729
59.027,42.310
56.311,58.734
-51.654,-0.342
2.576,32.721
15.131,-3.046
66.595,34.937
19.476,20.142
-1.172,20.648
-21.204,13.660
98.846,1.257
82.593,72.003
30.017,-30.896
33.228,41.663
39.490,-8.539
54.498,70.813
3.058,10.248
51.831,-16.870
76.416,11.346
5.243,0.238
50.592,34.247
-5.231,-2.081
24.194,25.836
33.630,37.585
31.445,-7.001
30.707,-28.168
49.860,1.038
-35.767,14.142
-29.309,4.889
19.049,41.974
27.600,13.934
52.832,50.684
6.229,10.590
32.663,44.730
48.807,48.792
33.179,-4.968
